"index","request_bytes","response_bytes","checksum_valid"
111,111  0  160  0  1  0  8  77,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
112,112  0  160  0  1  0  8  76,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
113,113  0  160  0  1  0  8  79,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
114,114  0  160  0  1  0  8  78,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
115,115  0  160  0  1  0  8  73,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
116,116  0  160  0  1  0  8  72,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
117,117  0  160  0  1  0  8  75,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
118,118  0  160  0  1  0  8  74,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
119,119  0  160  0  1  0  8  117,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
120,120  0  160  0  1  0  8  116,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
121,121  0  160  0  1  0  8  119,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
122,122  0  160  0  1  0  8  118,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
123,123  0  160  0  1  0  8  113,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
124,124  0  160  0  1  0  8  112,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
125,125  0  160  0  1  0  8  115,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
126,126  0  160  0  1  0  8  114,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
127,127  0  160  0  1  0  8  125,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
128,128  0  160  0  1  0  8  124,16  3  160  64  0  0  16  72  122  121  121  40  0  24  51  127,True
129,129  0  160  0  1  0  8  127,16  3  160  64  0  0  16  72  122  121  121  40  0  24  51  127,True
130,130  0  160  0  1  0  8  126,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
131,131  0  160  0  1  0  8  121,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
132,132  0  160  0  1  0  8  120,16  3  160  64  0  0  16  72  122  121  121  40  0  24  51  127,True
133,133  0  160  0  1  0  8  123,16  3  160  64  0  0  16  72  122  121  121  40  0  24  51  127,True
134,134  0  160  0  1  0  8  122,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
135,135  0  160  0  1  0  8  101,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
136,136  0  160  0  1  0  8  100,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
137,137  0  160  0  1  0  8  103,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
138,138  0  160  0  1  0  8  102,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
139,139  0  160  0  1  0  8  97,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
140,140  0  160  0  1  0  8  96,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
141,141  0  160  0  1  0  8  99,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
142,142  0  160  0  1  0  8  98,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
143,143  0  160  0  1  0  8  109,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
144,144  0  160  0  1  0  8  108,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
145,145  0  160  0  1  0  8  111,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
146,146  0  160  0  1  0  8  110,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
147,147  0  160  0  1  0  8  105,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
148,148  0  160  0  1  0  8  104,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
149,149  0  160  0  1  0  8  107,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
